keyword,review,sentiment
칼로리,"업데이트가 너무 자주 있고, 업데이트 안하면 앱 사용이 안되요.  그리고 수익성 때문에 AI코치 생기고서는 목표 몸무게나 일일 칼로리 설정도 다 없어졌어요. 이제 굳이 이 앱을 쓸 필요가 없어짐.. 광고는 더 늘고 점점 별로인 앱으로 업뎃중",negative
다이어트,"광고도 없고 식단 기록등을 너무 편하게 할 수 있어서 좋은 것 같아요, 다이어트 하면 늘 골칫거리가 식단 인데 매주 새로운 식단을 추천해주니까 진짜 편합니다 UI 도 깔끔하고 직관적인게 장점 그리고 가능하면 식단을 공유할 수 있는 기능도 있으면 좋을 것 같습니다",positive
다이어트,"리뷰 잘 안쓰는데 이 어플은 진짜 좋아서 씁니다.  식단을 편하게 작성할 수 있어서 꾸준히 작성할 수 있는 게 정말 큰 장점인 것 같아요 예전엔 작심삼일이었는데 루션 쓰고 한달만에 3kg 빠졌어요ㅎㅎ 걸음 포인트도 쌓이고, 내가 뭘 자주 먹는지 돌아보게 돼요. 단순히 다이어트 앱이 아니라, 습관을 만들어주는 앱 같아요. 매일 기록하고 걷는 게 즐거워졌어요!!",neutral
다이어트,"회사 동료가 다이어트 앱 소개해줬는데 속는셈 치고 깔아서 꾸준히 썼더니 5키로 감량했요!(우리끼리만 알고싶은 앱)  매일매일 기록하는 재미도 있고, 이 은근 정확해서 칼로리 계산도 쉽게 할수있어요~ 기존에 있던 다이어트 앱에서 +더 간편+ 쉬운 메뉴얼? 여튼 좋아요! 개발자가 누군진 몰라도 참 야무지네요ㅋㅋ",positive
다이어트,루션 덕분에 다이어트를 성공하였습니자,neutral
다이어트,"처음엔 그냥 식단 기록 앱인 줄 알았는데 써보니 완전 달라요. 식단을 매일 편하게 기록할 수 있다 보니 쓰다보니 3kg 감량했네요 루션 덕분에 하루를 건강하게 마무리하는 습관이 생겼어요. 보상도 있어서 꾸준히 하게 되고, 결과도 눈에 보여요. 다이어트 앱이라기보다 나를 관리해주는 매니저 같아요. 요즘 제 하루는 루션으로 시작해서 루션으로 끝나요! 감사해요 ~",positive
다이어트,"매번 다이어트 앱 깔았다가 금방 지웠는데, 루션은 다르네요. 식단 기록이 귀찮지 않고, 미션이 있어서 꾸준히 하게 돼요.",negative
다이어트,다이어트 식단 기록용으로 사용하고 있는데 쓰기 편하고 좋네요. 사진 찍으면 꽤 정확하게 인식되는 게 신기해요. 구웃,neutral
다이어트,"아직 나온지 얼마 되지 않아 식품정보가 떨어진다는건 알지만... 그래도 더 많이 넣어주셨으면 합니다ㅠㅠㅠ 그리고 다들 식단관리 목적, 다이어트 목적으로 많이 이용하실텐데 목표 칼로리를 조정할 수 있는 기능은 없더군요... 제시해주는 칼로리보다 낮게 책정하고 싶은데... 따로 조정 기능이 생기면 좋을 것 같습니다! 그리고 요즘 당함량에 다들 민감한만큼 당함량도 체크할 수 있는 기능이 있다면 좋을 것 같아요! 이런것들 외엔 깔끔하고 직관적이라 좋은 앱인 것 같네요ㅎ",positive
다이어트,다이어트에 도움되는 건강한 재료로 만든 도시락이 많아서 좋아요,positive
다이어트,"건강한 메뉴,식단 선택,요일배송 건강챙기고 다이어트를 위해선 꼭 필요한 앱이네요 좋습니다!",neutral
운동,먹은 칼로리 만기재되네요 운동한 칼로리도 좀빼야하지않을까요~~^^,neutral
운동,체중이 줄었어요~ 1개월 식단을 먹고 별도의 운동도 안하고 점심시간마다 30분 걷기말고는 안했는데.. 90kg에서 85kg로 변하다니 ㅋㅋ 지구최초라더니~ 인생최초로 85로 회귀 ^^,neutral
