작성자,댓글,좋아요수,작성일
@spacecowboy7549,컬리는 솔직히 살게 별로 없음. 그게 가장 큰 문제.,2,2024-11-13T07:29:26Z
@BoxMS99,이젠 자본금으로 밀어부치지 않으면 기존의 산업에서는 정말 살아남기가 어려워졌네요,0,2024-11-13T02:13:27Z
@Ggaemu,기업은 그 기업만의 색깔을 잃어버리면 끝임...,0,2024-11-12T21:05:26Z
@neihupark,"ㅈㄴ 비싸고, 된장질 컨셉으로 적자경영하던 곳인데 잘 될리가 있나. 최대 수혜자는 대표겠지. 대표는 돈잔치 했으니 망하든 말든 관심 있겠나. ㅋㅋㅋㅋ",1,2024-11-12T09:30:22Z
@성이름-x9r,결국은 우리나라에서는 독점을 하지 못하는 한 이득을 보기 힘들게 된 구조가 되었다 봄..,0,2024-11-12T08:49:05Z
@stephenLee321-d2x,김슬아 끝난듯,1,2024-11-12T02:08:21Z
@muarillu,"아무거나 먹이고 싶지 않은 우리아이 간식, 매일아침 고민중인 건강식, 요즘 유행하는 특별한 먹거리, 부모님 명절선물과 재철과일 등 컬리만이 할수 있는게 많은데.. 쿠팡은 이미 저만치 가있고 따라잡으려 하지말고 독보적인 길을 개척해서 나란히 F&B 투탑으로 올라가 주셨음 해요. 아무래도 입에 들어가는것까지 알리에서 사고싶진 않거든요.",1,2024-11-12T01:18:00Z
@마광수-w4o,대학생때 물류알바 하루 갔었는데 담당자 개싸가지없어서 절대 안씀,5,2024-11-11T14:04:43Z
@오리-q7h,"컬리가 망한 이유는 너무 비싸서이지, 딴 이유 없다! 강남만 쳐다 보고 장사 하니까 망한거고, 쿠팡은 전국민을 보고 장사하니까 성공한거지! 난 딱 컬리 망할껄 다 예상하고 있었지",2,2024-11-11T11:58:42Z
@nkwn49,투자 솜실인듯,1,2024-11-11T08:17:23Z
@stickcandy10,"뷰티에 의류에 온갖가지 들어오기 시작하니 식품에 집중 못하는 느낌
식품만 할때거 좋았다ㅜ",1,2024-11-11T03:11:37Z
@user-ahf3xcv5ej1,줏대 없는 대표와 본인 지분이 바닥이라 휘둘릴수 밖에 없는 상황이였고 그렇다고 쿠팡처럼 소뱅같은 막대한 자금줄이 있는 것도 아니고 결국 투자자들은 수익실현을 위해서 대표를 압박했을것이고. 자연스럽게 망하는 회사의 길로 가는거지. 투자 안받으면 회사를 못하는 대한민국 스타트업 시장의 분위도 한몫했음ㅋ,1,2024-11-11T01:01:27Z
@dada28-a,"배송도 별로, 가격 경쟁력도 별로임. 그나마 선택에 있어 특별한 선택지를 줬는데 그것도 이제 별로임.",1,2024-11-10T22:21:11Z
@hhk4658,투자를 쿠팡 만큼 받았으면 버텼겠지...경쟁자들 죽이면서...부족했어...-_-;,0,2024-11-10T22:15:43Z
@thinkalinkle,컬리는 직원으로서 좋은 얘기를 단 한번도 들어본 적이 없음. 개발자로서 좋지 않냐? 전혀 아님. 오히려 어떻게 여기까지라도 왔을까 싶음.,1,2024-11-10T21:39:04Z
@제키쿡,끝났네 고급화로 강남 아줌마한테 장사나 할 것이지 전국적으로 사업규모를 늘린다는 거에서 부터 쿠팡한테 이길게임이 아님,0,2024-11-10T17:33:29Z
@장은주-i3k,"가격 비싸고. 새벽 배송 받은적 없음 
물건 품절품절..실망 
아쉽습니다. 너저분",0,2024-11-10T16:00:38Z
@고릴라손가락,사천억도 큰돈인데,1,2024-11-10T14:31:50Z
@Ced78ii7lh,외국 오래 살았는데 그냥 외국 슈퍼마켓에서 파는 그저 그런 공장 식품들을 너무 그럴듯하게 과포장해서 팔았음….,9,2024-11-10T11:19:35Z
@김수연-n5k,"오이가 상해서 왔어요 메모남겼지만 무응답.,",1,2024-11-10T10:51:58Z
@bonobono-12,계집이 운영하면 그렇게 되는거야 이명희같은분 뺴고 ㅋㅋㅋㅋㅋㅋ,1,2024-11-10T10:46:05Z
@getitgo6473,걍 유행인거임,0,2024-11-10T07:30:56Z
@iamruru8912,물건 재입고도 엄청 오래 기다려야 하고 기다리다 기다리다보면 걍 없어진 상품도 있어서 결국 ㅋㅍ에서 구매하는 경우가 계속 되다보니 걍 ㅋㅍ 으로 자연스럽게~ 가게 되는 듯.. 그리고 컬리 처음에 이용하게 된 이유는 다른데서 구매하기 어려운 수입상품이나 좀 특별한 것들이 있었는데 지금은 완전 무슨 어우 머냐;;;;,2,2024-11-10T03:26:40Z
@jovo8881,새벽배송이라 해놓고 유통기한 임박한 제품으로 당일 밤 12시 전에 도착. 모르고 잠들면 신선제품 밖에서 방치하는 꼴,1,2024-11-10T03:06:49Z
@도로시엘리스,"배송이 쓰레기던데
기사가 ㅋㅋ진짜
지하 주차장 동 입구에
던져놓는거보고 안쓰게됨",0,2024-11-09T15:21:43Z
@마포잔챙이,이런업체 상장해봤자 개미무덤만 된다,1,2024-11-09T08:46:33Z
@Illilllliiiiililiiìii,"어제보니까 인스타82 옷들도 팔던데 온갖거 다 갖다 파는 82느낌남. 그렇다고 가격 경쟁력이 있지도않음. 브랜딩된 이미지가 고급스럽지만 멤버쉽서비스 이용하는 회원들만 좋지, 라벤더 등급에선 이젠 일반임. 가끔 할인쿠폰 주면 사는 정도",2,2024-11-09T05:42:27Z
@DDD-zh9mn,"조금 비싸도 컬리에서 샀던 건강한 농산물과 식품들 좋았습니다.
다시 돌아오길 바래요",1,2024-11-09T02:40:09Z
@성이름-b3e4n,경영철학이 먼진 모르겠지만 살아남을려면 쿠팡처럼 노동자 착취하고 정계출신 임원들 대거 영입했었어야지,1,2024-11-09T02:19:50Z
@익명-t2l,초심 잃고 고객 뒷통수 치니 망한거지,0,2024-11-09T01:40:45Z
@xvwsxvws,"새벽 배송이 김슬아 대표가 최초로 창안한것으로 나오고 있는데 
품목은 기억 안나는데 90년대에 이미 있었고 우리 집에서도 시켰었죠.
그 발상을 대형 식품 배달 회사에서 해보자 했을수있고 적어도 최초는 아니죠.",0,2024-11-08T20:35:19Z
@Goodnwisdom,"쿠팡이 안좋은 노동조건에 긴 정산기간.등 이미지가.양아치라 식품 야간배송은 컬리.주로 이용하는데,
일단 보다 환경에ㅜ도움이 되는 포장이어서 마음에 듬.

상품 종류도 많아지고 규모의.경제로 가격도 낮아져서
쿠팡의 경쟁업체로 버텨줬으면 좋겠음.",0,2024-11-08T17:11:04Z
@JLee-np2sp,당랑 몇년...ㅠㅠ,0,2024-11-08T16:11:17Z
@yuyu-sy1ut,걍 팔고~얘나 키우는게 남는거다,1,2024-11-08T14:50:44Z
@TiJ-ps9sn,난그래도 뭔가 좋은걸 사고싶을땐 아직도 컬리에서 시킴 쿠팡은 그냥 좀 저렴이 느낌만 사고,0,2024-11-08T13:58:39Z
@H_H-rx2oh,"컬리 제일 jot 가튼게;; 무의미한 할인쿠폰 제도임. 이것 저것 할인해주는척 하지만  정작 중복 쿠폰 적용이 안되서 무용지물. 있으나 마나한 시스템;; 
우유 할인 쿠폰 있다해놓고, 나중에 무배 쿠폰이나 전체 할인 쿠폰 쓸려면 하나는 포기해야함; (웃낀건 우유 몇백원 쿠폰 중복 해주기 싫어서 꼼수부리면서 더 큰 금액의 시크릿 쿠폰은 남발함;; 근데 그 쿠폰줘도 내가 장볼 타이밍 아니면 안쓰게 되니까 차라리 상품할인 쿠폰을 중복되게 해주는게 소비자 입장에서는 훨씬 긍정적 이미지가 되고 회사도 금액 면에서도 이득인데 왜 저렇게 하는지 이해가 안됨)

오히려;; 뭔가 장난질 당한기분이라 기분 뭣 같아짐;;; 그리고 뭔 되도 않는 화장품 들여와서 페이지만 정신없고;; 어후....;; (올영대비 가격차이 엄청 나는데 누가 사겠음;; 심지어 올영은 바로 배송서비스까지 있는데;;) 

그래도 빠른 새벽배송과 (우리집같은 경우는 새벽은 커녕 저녁 9~자정 12시 되기도 전도 온적도 많음;;) 일반 대형마트에도 잘 없는 해외 식품 보유한 점은 장점이라 아직은 유용하다고 생각함.  어떨땐 채소 같은게 대형마트보다 상태나 가격면에서 나을 때도 있어서 몇품목은 그런 믿음이 있으니까 아직은 시킴. 다만 내가 언급한 그런 짜치는 부분들 좀 개선하면 무지성 시크릿 쿠폰 나눠주는것보다 영업 이익 나올거라고 생각함.",15,2024-11-08T11:00:14Z
@TV-qs7ty,컬리는 배송이 정말 마이너스요. 맛있는 거 팔면서 다 녹아서 떡이 되어 옵니다. 몇번 얘기해도 변화가 없어요,2,2024-11-08T09:35:38Z
@yena8812,경제학과 졸업후 회계일을 하고 있으면서도 기업의 재무재표를 분석하고 현상황과 미래가치에 대해 생각해 보는걸 귀찮아하던 제게ㅠㅠ 귀에 쏙쏙 들어오게 정리해서 분석한걸 알려주시니 처음부터 끝까지 너무 흥미롭게 봤습니다..! 구독 눌렀는데 종종 영상 찾아보고 공부하러 올게요~ 감사합니다❤,1,2024-11-08T08:12:24Z
@깜찍이다요,컬리 살꺼없고 비쌈 쿠팡이 나아요 컬리 처음 생겼을때 전지현 모델썼을때 알아봤음,2,2024-11-08T05:41:26Z
@깜찍이다요,컬리보면 카페베네가 생각남,0,2024-11-08T05:40:10Z
@세상산책,우린  쿠팡에서 컬리로 바꿈,2,2024-11-08T04:54:12Z
@jhkim4578,마켓컬리는 물건이 드럽게 비싸서 첫가입쿠폰 쓰는 거 아니면 안 삼,0,2024-11-08T03:34:23Z
@크친6,"이제 컬리 이용하는데 신선도 좋음 배송도 새벽 배송에 빨리 옴 
쿠팡은 다신 이용 안함",0,2024-11-08T03:21:36Z
@-mdro6741,쿠팡승,1,2024-11-08T02:25:34Z
@ykl4175,컬리는 성장하고 있음... 사주와 멍청한 투자자들만 몰락하는 거지...,0,2024-11-07T20:19:22Z
@공다혜-y6y,"마켓컬리는 맛이 중상은가요 ㅋㅋ 믿고써요 ㅠ 쿠팡은 가끔 이걸 먹으라고 주는건가 싶은게
있음",0,2024-11-07T17:11:28Z
@user-nice0415,단순 아이디어로 모래위애 쌓은성.,1,2024-11-07T16:14:25Z
@azerc6459,신선식품과 차별성으로 떴지만 정작 뜨니까 다른 마트랑 차별성도 없고 신선식품도 딱히 메리트가 없어짐 결국 신선식품 온라인유통은 돈이 안된다는거지 안고가야할 리스크는 큰데 그거 다감안하다 보면 가격경쟁력이 떨어지고,0,2024-11-07T12:35:57Z
@sunshine_0318,그냥 샛별배송에나 집중하지.. 지금은 어중이 떠중이 ..  예전엔 단골고객에게도 참 잘해줬는데 지금은 안그렇기도하고. 클렌즈쥬스있을때 컬리에만 있어서 이용했는데 이제 그 쥬스도 안팔고.. 컬리에 파는 거 딴데도 다 있어서..  그래도 아직 좋은 게 많다,0,2024-11-07T11:26:22Z
@paulcho3235,제가 사는 곳 근처에 서울복합물류센터가 있는데 그곳에 컬리가 있었습니다. 그래서 구직하던 시절에 일당으로 몇 번 가서 일한 적도 있었죠. 코로나 시절 많은 자영업자분들이 그곳에 와서 일하시는 걸 봤어요. 그러다 23년에 복합물류센터의 임대료가 높다고 시설을 철거하더라구요. 컬리가 힘들구나 느꼈는데 영상을 보니 정말 심했구나 알게 되네요. 지금 컬리가 다시 회생하려고 노력하는 것 같은데 쿠팡이 워낙 강세이다 보니 힘든것 같네요.,2,2024-11-07T05:52:47Z
@polytag523,"컬리 자주 사용 하는 편인데 컬리의 문제가 너무 자주 쿠폰을 준다는 거임. 
이게 처음 줄땐 좋네 하다가 길들여지면 쿠폰 없이 컬리에서 쇼핑 하기가 싫어진다는 점이 치명적임. 
당장 나만 봐도 뭐 사야 한다 싶으면 바로 사지 않고 쿠폰 기다리고 있으니 말이죠.
컬리는 장점이 PB 상품의 퀄리티가 좋고 빠른 배송에 있기 때문에 쿠폰 발행보다는 직관적인 가격 경쟁을 해야 살아남을 수 있다고 봄.",1,2024-11-07T05:03:16Z
@spencercrm,신선식품의 창고 배송 포장 비용의 획기적인 운영혁신이 없으면 당초 성립될 수 없는 비즈 모델입니다.,0,2024-11-07T03:54:51Z
@co2594,난 쿠팡만 쓰다가 최근 컬리도 같이 사용하는데 예전엔 더 좋았는지 모르겠지만 지금도 쿠팡보다는 확실히 신선식품 질이 좋고 반찬도 더 맛있어서 컬리를 더 많이 사용함. 1인가구를 위한 소분 식품도 저렴하고 잘되어있음. 쿠팡이 더 싼 몇가지가 있어서 쿠팡도 쓰긴하는데 컬리에 쓰는 소비액이 더 커짐. 컬리 잘 운영해서 살아남았으면 좋겠다.,81,2024-11-07T02:58:06Z
@그래나다-c8c,요즘 컬리박스 를 본적이 없다 쿠팡도 흑자전환해서 그 규모에 천억 이천억인데  쿠팡마냥 비젼펀드에서 밑빠진독에 물붓듣이 아주 퍼부어야 될까 말까인데  .... 적자줄인것도 분식회계한거 같은데,3,2024-11-07T02:09:39Z
@달빛소년-b6f,맥킨지의 피쳐폰에 집중하라는 잘못된 보고서로 LG 휴대폰 사업부가 날아간 건 유명하죠.,0,2024-11-06T22:39:08Z
@김은진-z6e,"컬리 여전히 너무 잘 이용하고 좋아하는 사람으로서 개선점 생각해보면,

1. 포장 차별점 - 지금은 박스가 너무 여러 개인데, 1-2박스에 넣어서 주는 것 

2. 쿠팡과 차별과 필요 - 배송료 없음 또는 1만원도 배송 가능하면 더 자주  주문 할 수 있음. 

3. 뷰티컬리 너무 비싸요... 
아예 보지 않게 되더라구요. 쿠팡이나 네이버가 훨씬 저렴. 일반 식품 컬리로 쭉 가는게 좋을 것 같아요 

4. 개인적으로는 쿠팡에 상품평 적으며 물품 무료로 받을 수 있는 메리트가 매우 크더라구요. 좋은 퀄리티 좋아하는 젊은 세대 아니면 이것에 묶인 40대이상 분들은 쿠팡 떠나기가 쉽지 않은 것 같습니다. 이런 메리트를 넘는 것이 필요할 것 같아요~~

그리고 가격이 높다는 이야기가 있는데, 이 부분은... 저는 약간 가격이 있어도 퀄리티가 좋고 맛있다면 괜찮은데, 보통의 소비자들은 가성비를 보니... 요 이미지도 타파한다면 정말 좋을 것 같습니다!!

야채가 너무 신선하고, 밀키트도 너무 좋고, 수정해서 발전하시길 바랄게요!!!",4,2024-11-06T22:35:50Z
@gerrardlee1511,같은제품도 비쌈....결국 끝.,1,2024-11-06T18:27:54Z
@박차고-k5l,"진짜  컬리  망할줄 알앗음  왜냐고 이건
다른 업체하고 뭐가 틀림  처음에는 발로 뛰던게  보이던대 지금은 그저 뮐 배송 할건디 이건 망함",1,2024-11-06T15:30:49Z
@한주연-l2m,4천억도 비싸 수익성이 아예 없을거 같늠,1,2024-11-06T14:09:59Z
@ninja69891,"컬리 박스를 본적이 없어,,,,,,",0,2024-11-06T12:01:47Z
@구경중-q5y,컬리 예전엔 비싸도 퀄 좋아서 사줬는데 이제는 그냥 비싸서 안삼ㅋㅋㅋㅋㅋ,0,2024-11-06T09:50:39Z
@qpwuwysgvjsjsb,흑자내면 착취한다고 욕 처먹고... 적자보면 투자 손실 남 일이고...,0,2024-11-06T08:13:20Z
@dodsdssdi,"대표님 아직 안늦었어요~
창원인가 거기 지방센터 정리하시고
뷰티도정리하세요.
쿠팡처럼 오만 잡다한거 다팔지마시고
육류 과일 신선제품에 집중하고
서울 경기남부만 배송하세요",26,2024-11-06T08:04:59Z
@naragood5721,"요거트 2~3일전에 산것보다 유통기한이 더 짧은 요거트 보내고   친환경 양상추 4개 모두 속이 다 썩어 있는거 보내면서 영업손실 줄였구나 24년.... 
VIP 전용 판매상품은 스마트폰 앱에서나 열람가능하고 들어가보면 술,고기밖에 없드만....
머천다이징을 배춧잎 갯수가 큰거만 하나요?   그리고 오배송은 요즘들어 자주 생기는데 일용직 더 줄였나....",0,2024-11-06T07:19:53Z
@yzxxkiodbgxxjmz,400억도 비쌈~ 투자자들뻥튀기로 거품 겁...나낀 회사중 1위!,1,2024-11-06T07:13:38Z
@verandada,쿠팡보단 컬리가 깔끔하고 믿을수있어서 훨씬좋음. 망하면 안됨~쿠폰만 많이 뿌려준다면 완젼땡큐요^^,0,2024-11-06T03:17:44Z
@ymc2604,"솔직히 박스 포장을 나누는 것부터 낭비라 생각함. 쓰레기 너무 많이 나와서 이용을 안 하게 됨. 비오는 날은 다 젖어서 안에 든 물건, 특히 종이포장 상품 젖어서 오는 것도 최악임. 가장 큰 문제는 차별성이 있던 다양한 상품이 줄고 어디서나 구입할 수 있는데 가격 경쟁력은 떨어진다는 것임. 결제 시스템도 비효율적임. 결제 후에 부분 취소 안 되는 거 진짜 단점임.",1,2024-11-06T02:09:34Z
@로꼬-d2z,한 번 기울어진 사업 잃은 신뢰도는 못찾습니다 시장에서 사장 될 뿐,0,2024-11-06T01:42:17Z
@beaglee99,욕심이 과했어 진즉에 엑싯하고 런 했어야 했다,0,2024-11-06T00:47:32Z
@봄풀향기,"저의 새벽배송 1위는 오아시스
2위는 컬리 3위가 쿠팡입니다
오아시스가 컬리보다 저렴하고 쇼핑이 편하더라구요",0,2024-11-06T00:32:57Z
@m.m.m6725,컬리를 누가쓰냐ㅋㅋㅋㅋㅋ 그냥 쿠팡써,1,2024-11-05T22:23:03Z
@ds-k7878,"내 예감은 정확히 적중했음.  쿠팡은 처음 출시 했을 때부터 결국 이렇게 시장 잠식 할 줄 알았고. 마켓컬리는 처음 출시 한 순간 결국 이런식으로 사업방향 흘러가다가 결국 망할거 100% 직감했음. 
마켓컬리가 여기서 다시 터닝 해서 4년 이내에 매출 10배 이상 재 성장 + 적자 탈출 -> 흑자 전환 할 수 있는 방법을 알고 있는데, 구태여 가르쳐 줄 이유도 없고, 시켜도 어차피 안 할꺼라 공개 안함.ㅋ",0,2024-11-05T19:29:14Z
@M몰리,중소기업 제품 뺏어서 자기 PB로 만들더니 ㅉㅉ 잘됐다,0,2024-11-05T16:13:03Z
@seungjaeyu1293,가능합니다. 컬리만한 회사 없습니다.,0,2024-11-05T15:00:33Z
@개나리-x9c,컬리 상품의 질이 좋았는데 지금은 쿠팡프레시와 별 차이가 없어요ㅠㅠ 시들 시들...,0,2024-11-05T13:44:13Z
@Ironical_Etrange,부산인데 초창기 컬리는 서울만 새벽배송 한다길래 한 번도 안 썼어요. 서비스 확대한줄도 몰랐네요.,0,2024-11-05T12:26:24Z
@user-Id5dj9qg1l,오배송 지림 ㅋㅋㅋㅋ열번 중 다섯번은 잘못옴 언제 한번은 인도ㅠ가운데 찍 놔두고 배송완료햇다고 사진 왓길래 후다닥 뛰어나감,1,2024-11-05T09:47:10Z
@니니닝-z4v,bgm을 조금만 줄여주시면 오디오 설명이 더 잘 들릴 것 같아요!!,1,2024-11-05T08:43:44Z
@구좨,나레이션 목소리가 너무 졸려요 😥,0,2024-11-05T07:00:56Z
@김수민-o2f6n,"배송기사만 잘 교육시켰어도 좋았을텐데
비번 모른다고 공동현관 문앞에 틱 던져놓고 가는 건 컬리만의 독보적 스킬이었지",2,2024-11-05T04:50:10Z
@insightmarket5035,사기 아무리 쳐도 정신 박인 투자자는 돈안되는 사업은 절대 투자 안한다.. 세상이 그렇게 호락호락하나,0,2024-11-05T04:08:00Z
@제이드-p9v,중국자본 끌어들이려다 망해서 꼴좋네요,0,2024-11-05T03:54:46Z
@ny7816,구독박고갑니다.,0,2024-11-05T03:15:39Z
@ForeverRich-r5s,쿠팡처럼 판매자를 조져야지 그래야 성공함,0,2024-11-05T00:34:01Z
@YJ-wx4wj,컬리 포장재값만 좀 줄여도...;;,1,2024-11-05T00:00:43Z
@aaaaatttttttttt,좋은 컨텐츠네요 구독하고 갑니다.자주 업로드 해주세요,1,2024-11-04T22:56:18Z
@김김-k7n,가격만 비쌈,1,2024-11-04T21:58:36Z
@kevinshin1964,"구멍가게도 운영안해본 대표가 경력에서 보듯 허파람만 잔뜩들어 남돈으로 그동안 잘먹고 잘살고 회사가 망해도 본인은 어딘가에 살거는 만들어놓는게 저런 얘들 머리구조 
판만 키우면 계속 투자는 일어날수밖에 없는 구조로 간거고
한번도 흑자가 없는 구조 
투자사기다
사업구조가 그냥 사기인데 이컨머스시장 참 🤦 황당하다 
또라이 하나가 또 시끄럽게 하겠네",1,2024-11-04T21:58:18Z
@eunbitko4766,"컬리 너무 비싸고 재고가 소량인지 매진도 금방되고 상품이 다양하지 않음
컬리보다 쿠팡이 배송이 훨 빠르고 
가격도 싸고 무료배송 기준도 작아서 쿠팡씁니다 컬리는 탈퇴함",1,2024-11-04T17:01:56Z
@aimhigh4747,"다른데서 구하기 힘든 소스류 같은 식품이나 맛집음식이 있어 좋고 특히 칫솔, 세제 등 친환경 제품류가 있어서   좀 비싸고 과한 포장이 버겁지만 이용합니다. 컬리경영진은 재래시장, 대형마트와 차별화되는 점 계속 고수하시길",0,2024-11-04T14:50:44Z
@harutoday9729,"애초에 가능성 없는 사업이었는데 그게 코로나때 반짝 히트를 친것 뿐.... 콩짜가리 만한 나라에서 죄다 수도권에 모여살고 동네 어딜가도 대형마트, 슈퍼, 시장이 근거리에 위치하고 있고 다른 대안이 너무 많은데 아무 메리트가 없는 마켓컬리가 무슨수로 성장하고 무슨 수로 이익을 내겠냐 ㅋㅋㅋ 지금도 그냥 어쩔 수 없이 빚내가면서 끌고 가는거고 조만간 부도날 것 같다.",3,2024-11-04T14:05:49Z
@shapa49,외상정산? 이거  딱 큐텐 구씨 스타일인데...,0,2024-11-04T13:43:09Z
@finn_n_jake,컬리에서 처음으로 주문한게 새우완탕이였는데...  냉장고 맛이 났음...  그 뒤로 다시는 컬리 쳐다도 안보게 됨...,0,2024-11-04T12:58:11Z
@김지혜-k1m8r,전 늘 컬리 잘 이용해요. 일단 새벽 시간 잘 지켜 오구요. 채소가 신선하고 계란 유제품 두부 콩나물 등 기본 제품이 모두 신선해요. 그리고 컬리 박스 이용하면 과대 포장도 줄일 수 있어요. 컬리 카드 이용하면 2000원 쓰고 다시 돌려 받고. 2만원 무배도 이용 가능해서. 전 컬리 너무 좋아해요.,1,2024-11-04T12:35:39Z
@gonran4661,"그 대단한 컨설팅 업체에서 나와서 수년간 고생한 업체의 주요 경쟁력은 인력갈아넣기
이거 그냥 간판만 번지르르하지 알맹이는 영…",0,2024-11-04T11:01:08Z
@prior21,초심 잃은거 같던데. 쿠팡이 분명 위고 차별화 잇어야하는데 그냥 쿠팡 작은회사 느낌 아닌가,0,2024-11-04T07:14:58Z
@kangp-nv7cl,김슬아 대표의 지분은 이미 2020년쯤부터 10프로 미만이었음. 상장하려고 투자사에서 감나와라배나와라하면서 제품 구성이 잡화점이 됐음. 대박 치고 싶은 VC들이 자기 발등 찍은거임.,2,2024-11-04T05:55:03Z
@Ju.12lee,"쿠팡이 제일 좋더라
배송.반품 다 맘에 들고
쿠팡없이는 못산다",1,2024-11-04T05:27:27Z
@센티피드-r5m,"재밌게도 컬리는 그나마 눈치가 빠른 축임.

시장이 냉각되기 전에 마지막 라운드 투자를 크게 받아서 우여곡절 끝에 에비따 기준 흑자. 

쉽게 말해 신축 물류센터들 내용연수까지는 생명연장이 가능해졌음.

하지만 당시 시장 분위기 못읽고 기업가치 내리기 싫어하던 콧대높은 스타트업들? 

다 죽었거나 숨도 못쉬고 구조조정 함.

아직 살아서 발버둥치는 컬리 뒤에는 이미 죽어서 식어버린 자칭 유망 스타트업들이 널려있음.",0,2024-11-04T01:13:20Z
@아룡이-c7y,"배우 이재훈님 여기 투자해서 대박났다던데
아니구나..",0,2024-11-04T00:42:40Z
@awsrevelion,새벽배송이 뭐가 혁신임 ㅋ 비용을 기존 배송이랑 비슷하게 비용을 써서 새벽배송을 할 수 있어야 혁신이지,0,2024-11-03T23:01:33Z
@박유환-d2b,"새벽배송은...업체들이 몰라서 안했던게 아님.. 시작하는순간 업계 치킨게임 헬시작이라 쉽게 못했던거지.. 유통업계에서 수배송비용이 차지하는게 얼마나 어마어마한지 일반 사람들은 잘 모름
인건비와 수배송비의 상쇄를 업체가 어디서 뽑아내겠음? 지금 쿠팡을 보면 결과가 나옴",0,2024-11-03T22:33:18Z
@s파파,몇번 사보고 망할줄 알았음. 컬리에서는 왠만한 물건들 마트보다 비싸게팜. 처음에 가격 안보고 사는 여자들이나 걍 사다가 결국에 비싸게 파는거 알게되고 결국 안삼. 가격보면 사기당하는 느낌마저 들게됨. 그런식으로 소비자 기만하면 망하는건 당연함,2,2024-11-03T22:15:53Z
@내가젤잘되게해주세요,컬리 쿠팡 알바가봤는데 컬리는 어수선함...,1,2024-11-03T20:09:29Z
@Elmoreno-p7v,"마켓컬리를 2016년도에도 납품했던 회사를 다녀서 아는데.. ..2018년에 파머스에서 컬리로 바뀐게 아닐텐데..
2015년도에도 마켓컬리였음..",0,2024-11-03T17:49:03Z
@jaeyoungpark9294,시발것들이 음식물외식자재를 주문하면 길거리에 버려두고 배달했다는것들인데....길가다 뭔박스인지 찿아보다보면 어떤건다른집에서 어떤건내가 줌 문 물건들이....그냥지나치면 없어지는...컬리에 문의하면 니가알아서 찿아쳐먹으라는 답변...말그대로 변이온는데...누가더이상의 즈문을할건지....난 절대주문하면안되는곳이 컬리란.걸알기에 더이상줌 ㄴ안한다,1,2024-11-03T15:20:12Z
@8elements,브랜딩만 남았음...,0,2024-11-03T15:10:01Z
@TV-ky7bs,"농협하나로마트에서 직접 가서 농협표 냉동돼지갈비 직접 사와서 구워먹다가, 컬리에서 쿠폰줘서 비슷한거 먹고 입버림 ㅠㅠ 역시 온라인은.... 별로예요. 우리애들 먹을껀 제가 직접 나가서 사옵니다.",0,2024-11-03T14:33:21Z
@TV-ky7bs,"새벽배송 한번도 안해보고, 머리 쓸 생각 안하고 돈으로 그냥 ""새벽배송"" 이러면 성공할 줄 알았나...??",0,2024-11-03T14:29:38Z
@Way-hv3xn,기업가치 4천억이면 여전히 한국 상위 0.001% 갑부네요.,0,2024-11-03T13:22:11Z
@뮤즈-g2g,시골 소도시 군지역까지 이미 쿠팡이 배송보급로 다 뜷어놨다 게임 끝났다 ㅎㅎ,1,2024-11-03T11:35:33Z
@뮤즈-g2g,한국내수는 점점 마이너스로 갈텐데 지금이라도 빨리 접어라,0,2024-11-03T11:26:16Z
@litey3227,애초에 수익을 내지 못하는 사업모델이므로 4천억 기업가치도 많다고 보여지는데,0,2024-11-03T10:01:17Z
@오잉오잉-x4e,그냥 주제 파악 못 하고 거품마케팅에 돈 쳐바른게 몰락의 이유지 뭐. 이런 거품마케팅이 아줌마들한테는 잘 먹히지만 소비층이 그 아줌마들로만 한정된다는거ㅋㅋ,0,2024-11-03T09:56:52Z
@정태영-k7q,코로나 때문에 반짝성장 아님? ㅋㅋ,0,2024-11-03T09:53:29Z
@재형-c3x,적립금 많이 뿌리던데 발빼려는거 아닌가?,0,2024-11-03T09:14:02Z
@나를밝히기싫어-b5g,"중갅물류배송업체들이 때부자 됐지
물류배송비 내려오면 기사들한테는 60퍼 70퍼만 내려오지 자가용쓰면서 아 우린 법적으로 영업용냉장차씁니다속이고 ㅋ
컬리에서 관리감독이 전혀안함 돈이 많이 세지",1,2024-11-03T07:19:28Z
@HeroNatural,여자가 리더를 하면 어쩔수없음,1,2024-11-03T06:23:53Z
@아이건좀-c2f,"몸집 키우려다가 정체성 산으로 감.
대표가 일찍 매스컴 노출하면서 기업공개에 야욕을 보인 것도 마이너스였음. 잘 키우고 싶다는  메시지와 상장을 위한 괴도한 기업가치 내세우는 기사가 중첩되면서 먹튀로 인식되기 시작했음.",2,2024-11-03T05:09:12Z
@soundslike82,뷰티 컬리를 굳이 만들고 컬리 지들 자체 상품 만들고 하면서 그냥 배송 빨리해주는 평범한 온라인 마트로 변함..매출은 올렸겠지만 매니아층은 잃음…,0,2024-11-03T04:53:05Z
@메메롱-k3k,무신사랑 합병했어야 서로 시너지가 좋았을텐데 참 아쉽다. 식자재는 쿠팡의 그 쿠팡잇츠랑 쿠팡플레이 서비스 때문에 경쟁력이 떨어지고 뷰티는 올리브영 때문에 경쟁력 떨어지고 .....,0,2024-11-03T02:47:46Z
@상머슴-g6k,너무 쿠팡을 따라하려 했어... 전혀 다른 회사인데...,0,2024-11-03T02:21:25Z
