작성자,댓글,좋아요수,작성일
@쫑쫑-x4f,와 엄청 싸가지없을거같은  목소리예요!    근데  일은 엄청 잘하실거 같아요 !,0,2025-08-06T03:02:44Z
@최승희-n3i,다리를 달달~~~ㅎㅎㅎ,0,2025-08-05T11:51:56Z
@aebun22,다크 서클 ㅎㅎ😂 불쌍함.,0,2025-08-05T11:15:41Z
@정선미-t2d,보기만해도 짜~~~,0,2025-08-03T20:25:57Z
@mvweb2637,오늘은 생존 요리인듯,0,2025-08-03T13:29:33Z
@Jaehoon-q6b,다리터는거 진 짜 ㅎㅎㅎㅎㅎ 열라쿨하시넹,0,2025-08-03T09:22:51Z
@tv-bo5bl,학씨 ㅋㅋㅋ😂,0,2025-08-03T09:00:43Z
@Mememe12349-b,미국도시락은 항상 감자칩같은 과자가 꼭 들어가나요??? 항상있어서 궁금했어요 영화나 미드봐도,0,2025-08-03T03:59:48Z
@Mark-v3q6x,기엽네 잘하네,0,2025-08-02T02:13:17Z
@풍선초록-v7k,사이즈 안 맞는 봉지에 대충 툭 멋짐폭발,0,2025-08-01T06:21:19Z
@김은정-v5d1t,ㅋ 도시락 봉지에 대충 싸가는게 쿨함의 끝이네요😊,0,2025-07-31T18:22:29Z
@뾰롱이-v7e,근~~강은 우짤라궁!!,0,2025-07-31T07:15:49Z
@이은재-b8h,나만 이분 말투 장기하 같냐...,0,2025-07-30T18:41:58Z
@문명자-j3e,이언니  웃기면서  매력덩어리  네,0,2025-07-30T12:42:28Z
@손명애-b6f,"두툼한 양발신발 딱 좋은데용~
신발이 안들어가면..앗..나 살쩠구나..했던 시절이 있었는데..ㅠㅠ..",0,2025-07-29T19:49:06Z
@꿈이언니-g4q,고래밥은 왜 가져감 ㅋㅋㅋㅋㅋㅋ,0,2025-07-27T14:26:16Z
@euk3347,스팸은 소분해서 냉동에 보관해요?,0,2025-07-27T13:15:22Z
@ofantasticlou,현실직장각ㅋㅋㅋ,0,2025-07-24T11:51:54Z
@sekwjwjwjw,아 ㅠㅠㅠㅠㅠㅠ 언니 진짜 매력 미친다 너무 좋아요 ㅠㅜㅜㅜㅠㅠ,0,2025-07-23T16:41:35Z
@이주연-g1s9p,너무 좋아❤❤❤❤❤❤봉투❤❤,0,2025-07-23T09:45:12Z
@이정미-j3w,발터는게 젤로 맘에듬 ~^^ ㅎ ㅎ ❤😂😂😅,0,2025-07-23T03:23:12Z
@Debbie-w3b7i,정말 잘한다!!❤,0,2025-07-22T22:26:00Z
@제니엔젤-l4u,"계란껍질 저렇게 던져
야지",0,2025-07-21T15:50:07Z
@mom-x2k,짠 스팸을 간장넣고 조림??,0,2025-07-21T08:07:11Z
@canlee9615,"겁나 맛나보여용~~
근데 불안끄고 갔어요😅😅 핸드폰찾으러 오면서 끄셨겠죠? 😂😂",0,2025-07-20T15:22:21Z
@lje47100,ㅋ봉다리에 담아가는스킬,0,2025-07-20T06:08:22Z
@김정빈-i5h,대박 ㅋㅋ,0,2025-07-20T04:30:03Z
@ichin0216,도시락가방사드리고싶네요ㅎ,0,2025-07-19T23:09:06Z
@톨밤,말투개킹받,1,2025-07-19T05:21:31Z
@프리지아-d8k,"진짜 센스장이임 
스팸 소분 한것보니 진짜 무심 한듯 하지만 
야무진 언니😊❤🎉",0,2025-07-17T21:15:56Z
@DJK-o3g,다리 떠는거 중독이노~~ ㅎㅎ,0,2025-07-16T00:31:43Z
@루피쓰-y6s,이 분의.. 매력.. ㅠㅠ 이 여자 사랑합미다..❤,0,2025-07-15T21:22:21Z
@christinekim1323,다리떠는거 보러 옵니다 😅,0,2025-07-15T03:32:35Z
@퀸-d2u,이 언니 진짜 부지런하다 모든걸 소분해둠,0,2025-07-14T13:38:37Z
@hahadianadiana,"시크하게 생겨서 
고래밥 봉다리에 챙기는 귀여운 젠언니😉😉😊",0,2025-07-13T00:37:32Z
